LocalAuth,GeoCode,HEV,Cars,HEVp1000,CompCars,CCp1000,HEVln,SecNei,FirstNei,LondonB,LondonPlus,NonLPlus,AreaCat,PropDriveLCC1k,DistLCC,NoCar,OneCar,TwoCar,ThreePlus,WorkHome,Underground,Train,Bus,Taxi,Motorcycle,CarDriver,CarPasseng,Bicycle,Foot,Private,Public,Active,Dist.to.work.km,PopD,OwnedOut,OwnedMort,RentPriv,RentSoc,Detached,Semi,Terrace,Flat,Mean House Size,AgeMean,Prop.16.to.24,Prop.25.to.29,Prop.30.to.44,Prop.45.to.59,Prop.60.to.74,Prop.75.and.over,DepChild,NoQual,Level1,Level2,Level3,Level4,PartTime,FullTime,SelfEmp,Unempl,Retired,Student,HomeFam,Disabled,MeanY1k,MedianY1k,MeanAgeln,A30to44ln,Level4ln,PartTimeln,MeanY1kln,OneCarln,DriveWorkln,PopDln,MeanHSizeln,DepChildln,CCars1kln,PropDriveLCC1kln,DistLCCln
East Riding of Yorkshire UA,E06000011,596,190419,3.129939764,8012,42.07563321,1.14101376,0,0,0,0,1,4,0.24280469,263160.5,17.61843504,43.90765703,29.59337771,8.880530231,6.24287433,0.065508922,1.448755016,2.83767015,0.328174506,0.758391756,67.42316874,5.536763733,3.763613573,10.72960562,74.04649874,4.351934088,14.49321919,18.3,1.4,39.24995805,36.05207226,13.73678617,9.108451256,34.21196631,36.05242436,19.88001655,9.63270917,2.285355725,43.5,9.5709186,4.510457,18.0576876,21.6668312,19.685857,9.7968454,36.57860706,23.36589625,13.01606349,16.20756432,12.09773904,25.86973158,15.41405735,36.95570739,10.11181055,3.581113545,19.45894444,6.418316408,3.195924982,3.143399269,27.3,20.7,3.772760938,2.8935715,3.25307362,2.735279908,3.306886702,3.782088725,4.210988709,0.336472237,0.82652169,3.599463563,3.73946879,-1.415497904,12.48051939
North East Lincolnshire UA,E06000012,173,70625,2.449557522,3253,46.06017699,0.895907405,0,0,0,0,1,4,0.126219597,225825.635,30.81613037,43.52217137,20.75688238,4.904815872,2.701480728,0.073471233,0.463433932,6.102351079,0.796880298,0.929693681,63.69390754,7.176161411,5.483497231,11.72290042,72.59664293,6.639256244,17.20639765,13.2,8.3,30.83908359,35.25183984,18.1143931,14.47630797,20.68808605,32.79371208,33.10672918,13.33149476,2.262871735,40.2,11.7707498,6.2568915,18.6710605,20.221657,15.6431686,8.4916299,42.29699071,29.53307002,16.08941311,17.77982176,10.81954289,16.20844509,16.47859233,36.29589978,6.461583623,6.463310396,15.55649569,6.869965378,4.865182218,4.845324331,23.6,19.2,3.693866996,2.926974758,2.785532408,2.802062104,3.161246712,3.773270495,4.154088915,2.116255515,0.816634686,3.744715942,3.829948737,-2.069732056,12.32751845
North Lincolnshire UA,E06000013,202,89482,2.25743725,3754,41.95257147,0.81423021,0,0,0,0,1,4,0.283460103,233829.7199,20.67936167,43.45254937,27.51683549,8.351253466,4.254747058,0.043533373,0.473745535,2.42506498,0.280406141,1.012791129,70.32176285,6.718223838,3.838619224,9.989628814,78.33318396,2.942343888,13.82824804,16.9,2,33.0414238,36.47501556,13.40756041,15.41367212,33.6733308,41.26826751,14.69957082,9.633563318,2.345834984,40.8,10.4780048,5.9535611,18.9117686,21.1608519,16.5516047,8.2271299,40.23627519,26.18052239,15.79515815,16.74883362,11.69464751,19.53124426,15.34223283,39.46570314,7.250120576,4.79771763,16.5913234,6.092586386,4.441301735,4.210775859,25.4,20.2,3.708682081,2.939784406,2.972015453,2.730609341,3.234749174,3.771669524,4.253081322,0.693147181,0.852641408,3.694768957,3.736539729,-1.260683896,12.36234844
York UA,E06000014,217,90126,2.407740275,3594,39.87750483,0.878688662,0,0,0,0,1,4,0.276335223,279692.2677,26.10111069,46.67632133,22.18378974,5.038778246,5.09010241,0.105347393,2.577972265,7.233516678,0.423415484,0.980541121,48.50538386,4.624142786,11.44336058,18.48238977,54.53348325,9.916836336,29.92575035,15.8,7.3,33.93216201,32.16679433,17.92895442,13.97812141,21.94997861,35.61393569,24.54123932,18.00238197,2.278209977,39.5,16.05849,7.1491686,19.600002,18.3604223,14.4634463,8.3241185,39.07973876,17.96000601,10.60652533,13.87460532,16.59299353,32.40114269,15.01245085,38.07489201,8.230243876,3.058969617,13.81142808,15.29017485,2.741856879,2.455454005,26.5,19.9,3.676300672,2.975529668,3.47819369,2.708879913,3.277144733,3.843236998,3.881674799,1.987874348,0.823390037,3.665604142,3.685812376,-1.286140574,12.54144523
Derby UA,E06000015,575,108124,5.317968259,15496,143.3169324,1.671091324,0,0,0,0,1,4,1.034836811,181730.4265,28.93586647,43.35931007,22.42082311,5.284000352,3.287612745,0.077386988,1.123445589,9.008912846,0.83524577,0.873494512,61.28515771,6.469374322,3.754603192,12.77063208,69.46327231,10.20974542,16.52523527,12.6,31.9,29.56752158,31.80373713,16.81121726,19.80033441,23.07786196,38.66527711,23.38206161,14.7987494,2.388428782,37.6,13.5492378,7.3209462,20.6221458,17.9327201,12.6511546,7.5516981,46.06091593,24.09731618,13.27470264,14.47979563,13.04448797,24.21040409,14.67446776,38.47320836,6.501720666,5.185424812,12.78647562,10.4216051,4.793882571,4.782169769,24.9,19.7,3.62700405,3.026365537,3.186782462,2.686109097,3.214867803,3.769521445,4.115537688,3.46260601,0.870635737,3.82996478,4.965058488,0.034243744,12.11027969
Leicester UA,E06000016,717,110395,6.494859369,34462,312.1699352,1.871010998,0,0,0,0,1,4,0.332427681,143742.1413,36.85279188,42.12304569,16.88284264,4.141319797,2.906308639,0.170916549,1.178960536,13.5715013,0.55711522,0.501112776,51.75716759,8.061442681,3.708525463,16.96292202,60.87683827,14.92137839,20.67144748,10.7,45,22.75573604,26.92548223,22.74030457,25.39695431,10.56802128,35.42141859,31.79877351,22.69638446,2.603922843,34.8,16.9343225,8.9652831,20.6667495,16.8852076,9.9879032,5.5566504,50.1261799,28.55733804,12.95325453,12.58097943,13.00583359,21.19396684,13.76407741,33.34819512,5.788252584,6.184979689,9.261782093,16.88670366,6.20685954,5.117820932,21.6,17.6,3.549617387,3.028526104,3.053716558,2.622062112,3.072693315,3.740594994,3.946562927,3.80666249,0.957019094,3.914543425,5.743547704,-1.101332943,11.87577629
Rutland UA,E06000017,81,22542,3.593292521,631,27.99219235,1.279068919,0,0,0,0,1,4,1.226143512,133214.0065,12.39168111,41.00786562,34.80869217,11.7917611,9.153406886,0.171868936,1.835116705,1.114376005,0.138603981,0.587680878,62.27199645,4.141486944,3.514996951,16.44952043,67.13976825,3.121361646,19.96451738,20.6,1,39.25476603,31.10918544,15.55125983,11.23183576,46.46213206,27.26989856,18.0098326,7.561142573,2.282628983,42.4,10.7174396,5.1031604,17.8918355,20.1263079,18.5528112,9.71661,36.68897565,17.77205619,12.15330965,17.51132549,12.49551869,32.90421406,14.22076002,38.12657105,12.37616442,2.376903741,16.92665977,8.03637439,3.245601065,1.711518557,35.7,24.1,3.747148362,2.884344491,3.493600736,2.65470287,3.575150689,3.713763893,4.13151183,0,0.825327841,3.602476319,3.331925627,0.203873888,11.79971219
Nottingham UA,E06000018,344,96284,3.572763907,5881,61.07972249,1.2733395,0,0,0,0,1,4,0.379407983,177091.1823,43.67919068,40.12812076,13.3075929,2.885095655,3.288480579,2.061387135,1.121589378,20.1082634,0.817250726,0.634647535,46.10852311,5.433459397,3.536820919,16.18513529,52.99388077,23.29123991,19.72195621,13.6,41,19.94117227,25.14449263,23.06966567,29.7198944,14.79259722,31.33298779,28.70100767,25.40969861,2.294598473,34.8,21.7537948,8.5815232,20.1252944,15.5973567,9.8619471,5.8989793,48.15871152,25.58575633,12.24250712,12.92782203,18.55668042,21.9408726,11.89501534,31.13344135,5.603433417,6.366558654,9.110965562,22.58954118,4.676996794,5.671084836,22.7,17.6,3.549617387,3.001977452,3.088351226,2.476119433,3.122364924,3.692077354,3.830997816,3.713572067,0.830557871,3.874502046,4.112179937,-0.969143181,12.08442003
"Herefordshire, County of UA",E06000019,280,111829,2.503822801,4510,40.32943154,0.917818684,0,0,0,0,1,4,0.462602771,194255.179,16.37661359,41.56845721,30.39492333,11.66000587,9.34871505,0.09641278,0.752462959,1.744295577,0.320267739,0.691512351,62.71263451,5.252834203,3.662577435,14.57162805,68.9772488,2.593171316,18.23420549,16.7,0.8,39.41189239,28.27794022,15.50964645,13.9212707,42.42449939,27.35950769,17.15950526,12.07161807,2.304906855,43,9.73092,5.2764107,17.9036064,21.2331791,18.5854358,10.0939082,37.59406716,22.93007462,12.76371725,16.00531712,11.99971045,27.49305747,15.24632425,36.04112648,14.35155348,3.262091396,16.59822245,6.00710421,3.474168553,3.44719054,25.9,19.6,3.761200116,2.885002167,3.313933517,2.724338441,3.254242969,3.72734164,4.138562935,-0.223143551,0.835040266,3.62684625,3.697081514,-0.770886539,12.17692793
Telford and Wrekin UA,E06000020,162,84671,1.913287903,4622,54.58775732,0.648823177,0,0,0,0,1,4,0.258985014,212607.3653,20.64016334,43.08791737,27.88854192,8.383377372,4.00525698,0.080385852,1.389526872,4.023120502,1.103710509,0.719644771,69.98417802,8.032205379,2.129587097,8.007962027,79.83973868,5.493033226,10.13754912,15.3,5.7,27.18292097,36.49861878,14.98168388,19.67631516,30.48141572,36.38414297,22.60674681,10.14785924,2.466955921,38.1,12.0636578,6.5338062,20.6005725,19.8156516,14.3650122,6.097539,44.736359,24.62398067,15.14270613,17.91830263,12.98625793,20.92494715,13.51826561,41.35378929,7.02328282,4.748157901,13.73743652,7.907326687,4.843840725,4.907629274,24.2,19.1,3.640214282,3.025318867,3.040942091,2.604041779,3.186352633,3.763242618,4.248269188,1.740466175,0.90298497,3.800786571,3.999809633,-1.35098508,12.26720239
